Round Number,Date,Location,Home Team,Away Team
1,10/08/2018 20:00,Old Trafford,Man United,Leicester
1,11/08/2018 12:30,St. James' Park,Newcastle,Tottenham
1,11/08/2018 15:00,Vitality Stadium,Bournemouth,Cardiff
1,11/08/2018 15:00,Craven Cottage,Fulham,Crystal Palace
1,11/08/2018 15:00,John Smith's Stadium,Huddersfield,Chelsea
1,11/08/2018 15:00,Vicarage Road,Watford,Brighton
1,11/08/2018 17:30,Molineux Stadium,Wolves,Everton
1,12/08/2018 13:30,Anfield,Liverpool,West Ham
1,12/08/2018 13:30,St. Mary's Stadium,Southampton,Burnley
1,12/08/2018 16:00,Emirates Stadium,Arsenal,Man City
2,18/08/2018 12:30,Cardiff City Stadium,Cardiff,Newcastle
2,18/08/2018 15:00,Goodison Park,Everton,Southampton
2,18/08/2018 15:00,King Power Stadium,Leicester,Wolves
2,18/08/2018 15:00,Wembley Stadium,Tottenham,Fulham
2,18/08/2018 15:00,London Stadium,West Ham,Bournemouth
2,18/08/2018 17:30,Stamford Bridge,Chelsea,Arsenal
2,19/08/2018 13:30,Turf Moor,Burnley,Watford
2,19/08/2018 13:30,Etihad Stadium,Man City,Huddersfield
2,19/08/2018 16:00,Amex Stadium,Brighton,Man United
2,20/08/2018 20:00,Selhurst Park,Crystal Palace,Liverpool
3,25/08/2018 12:30,Molineux Stadium,Wolves,Man City
3,25/08/2018 15:00,Emirates Stadium,Arsenal,West Ham
3,25/08/2018 15:00,Vitality Stadium,Bournemouth,Everton
3,25/08/2018 15:00,John Smith's Stadium,Huddersfield,Cardiff
3,25/08/2018 15:00,St. Mary's Stadium,Southampton,Leicester
3,25/08/2018 17:30,Anfield,Liverpool,Brighton
3,26/08/2018 13:30,Vicarage Road,Watford,Crystal Palace
3,26/08/2018 16:00,Craven Cottage,Fulham,Burnley
3,26/08/2018 16:00,St. James' Park,Newcastle,Chelsea
3,27/08/2018 20:00,Old Trafford,Man United,Tottenham
4,01/09/2018 12:30,King Power Stadium,Leicester,Liverpool
4,01/09/2018 15:00,Amex Stadium,Brighton,Fulham
4,01/09/2018 15:00,Stamford Bridge,Chelsea,Bournemouth
4,01/09/2018 15:00,Selhurst Park,Crystal Palace,Southampton
4,01/09/2018 15:00,Goodison Park,Everton,Huddersfield
4,01/09/2018 15:00,London Stadium,West Ham,Wolves
4,01/09/2018 17:30,Etihad Stadium,Man City,Newcastle
4,02/09/2018 13:30,Cardiff City Stadium,Cardiff,Arsenal
4,02/09/2018 16:00,Turf Moor,Burnley,Man United
4,02/09/2018 16:00,Vicarage Road,Watford,Tottenham
5,15/09/2018 12:30,Tottenham Hotspur Stadium,Tottenham,Liverpool
5,15/09/2018 15:00,Vitality Stadium,Bournemouth,Leicester
5,15/09/2018 15:00,Stamford Bridge,Chelsea,Cardiff
5,15/09/2018 15:00,John Smith's Stadium,Huddersfield,Crystal Palace
5,15/09/2018 15:00,Etihad Stadium,Man City,Fulham
5,15/09/2018 15:00,St. James' Park,Newcastle,Arsenal
5,15/09/2018 17:30,Vicarage Road,Watford,Man United
5,16/09/2018 13:30,Molineux Stadium,Wolves,Burnley
5,16/09/2018 16:00,Goodison Park,Everton,West Ham
5,17/09/2018 20:00,St. Mary's Stadium,Southampton,Brighton
6,22/09/2018 12:30,Craven Cottage,Fulham,Watford
6,22/09/2018 15:00,Turf Moor,Burnley,Bournemouth
6,22/09/2018 15:00,Cardiff City Stadium,Cardiff,Man City
6,22/09/2018 15:00,Selhurst Park,Crystal Palace,Newcastle
